shrine_id,db_tier,importance_tags,verification_status
J0001,1,重要神社,既存登録
J0002,1,重要神社,既存登録
J0003,1,重要神社,既存登録
J0004,1,重要神社,既存登録
J0005,1,重要神社,既存登録
J0006,1,重要神社,既存登録
J0007,1,重要神社,既存登録
J0008,1,重要神社,既存登録
J0009,1,重要神社,既存登録
J0010,1,重要神社,既存登録
J0011,1,重要神社,既存登録
J0012,1,重要神社,既存登録
J0013,1,重要神社,既存登録
J0014,1,重要神社,既存登録
J0015,1,重要神社,既存登録
J0016,1,重要神社,既存登録
J0017,1,重要神社,既存登録
J0018,1,重要神社,既存登録
J0019,1,重要神社,既存登録
J0020,1,重要神社,既存登録
J0021,1,重要神社,既存登録
J0022,1,重要神社,既存登録
J0023,1,重要神社,既存登録
J0024,1,重要神社,既存登録
J0025,1,重要神社,既存登録
J0026,1,重要神社,既存登録
J0027,1,重要神社,既存登録
J0028,1,重要神社,既存登録
J0029,1,重要神社,既存登録
J0030,1,重要神社,既存登録
J0031,1,重要神社,既存登録
J0032,1,重要神社,既存登録
J0033,1,重要神社,既存登録
J0034,1,重要神社,既存登録
J0035,1,重要神社,既存登録
J0036,1,重要神社,既存登録
J0037,1,重要神社,既存登録
J0038,1,重要神社,既存登録
J0039,1,重要神社,既存登録
J0040,1,重要神社,既存登録
J0041,1,重要神社,既存登録
J0042,1,重要神社,既存登録
J0043,1,重要神社,既存登録
J0044,1,重要神社,既存登録
J0045,1,重要神社,既存登録
J0046,1,重要神社,既存登録
J0047,1,重要神社,既存登録
J0048,1,重要神社,既存登録
J0049,1,重要神社,既存登録
J0050,1,重要神社,既存登録
J0051,1,重要神社,既存登録
