id,name,yomi,former_shrine_rank,shikinaisha_type,ichinomiya_name,province,county,prefecture,city,address,lat,lng,gmap_url,main_god_ids,sub_god_ids,description
J0001,大神神社,おおみわじんじゃ,官幣大社,名神大社,大和国一宮,大和国,城上郡,奈良県,桜井市,奈良県桜井市三輪1422,34.5332,135.8524,"https://maps.google.com/?q=34.5332,135.8524",K036,,日本最古級の神社。三輪山を御神体とする。
J0002,出雲大社,いずもたいしゃ,官幣大社,名神大社,出雲国一宮,出雲国,出雲郡,島根県,出雲市,島根県出雲市大社町杵築東195,35.4020,132.6855,"https://maps.google.com/?q=35.4020,132.6855",K031,,縁結びの神様として名高い大国主大神を祀る。
J0003,皇大神宮（伊勢神宮 内宮）,こうたいじんぐう,官幣大社,式内大社,伊勢国一宮,伊勢国,度会郡,三重県,伊勢市,三重県伊勢市宇治館町1,34.4550,136.7258,"https://maps.google.com/?q=34.4550,136.7258",K012,,皇室の祖神であり日本人の総氏神である天照大御神を祀る。
J0004,鹿島神宮,かしまじんぐう,官幣大社,名神大社,常陸国一宮,常陸国,鹿島郡,茨城県,鹿嶋市,茨城県鹿嶋市宮中2306-1,35.9685,140.6315,"https://maps.google.com/?q=35.9685,140.6315",K016,,武道の神様である建御雷之男神を祀る東国三社の一つ。
J0005,諏訪大社 上社本宮,すわたいしゃ かみしゃほんみや,官幣大社,名神大社,信濃国一宮,信濃国,諏訪郡,長野県,諏訪市,長野県諏訪市中洲宮山1,35.9983,138.1186,"https://maps.google.com/?q=35.9983,138.1186",K034,,建御名方神を祀る諏訪大社上社の本宮。
J0006,香取神宮,かとりじんぐう,官幣大社,名神大社,下総国一宮,下総国,香取郡,千葉県,香取市,千葉県香取市香取1697,35.8860,140.5287,"https://maps.google.com/?q=35.8860,140.5287",K017,,経津主大神を祀る東国三社の一つ。
J0007,明治神宮,めいじじんぐう,官幣大社,,,武蔵国,,東京都,渋谷区,東京都渋谷区代々木神園町1-1,35.669868,139.702255,"https://maps.google.com/?q=35.669868,139.702255",K160|K161,,明治天皇と昭憲皇太后を御祭神として祀る。
J0008,宇佐神宮,うさじんぐう,官幣大社,式内社,豊前国一宮,豊前国,宇佐郡,大分県,宇佐市,大分県宇佐市南宇佐2859,33.526019,131.374627,"https://maps.google.com/?q=33.526019,131.374627",K080|K089|K090|K091|K079,,八幡大神・比売大神・神功皇后を祀る全国八幡宮の総本宮。
J0009,太宰府天満宮,だざいふてんまんぐう,官幣中社,,,筑前国,御笠郡,福岡県,太宰府市,福岡県太宰府市宰府4丁目7-1,33.521496,130.535431,"https://maps.google.com/?q=33.521496,130.535431",K152,,菅原道真公の御墓所に鎮座する天神信仰の聖地。
J0010,北野天満宮,きたのてんまんぐう,官幣中社,,,山城国,,京都府,京都市,京都府京都市上京区馬喰町,35.031174,135.735123,"https://maps.google.com/?q=35.031174,135.735123",K152,,菅原道真公を祀る天神信仰発祥の社。
J0011,宗像大社 辺津宮,むなかたたいしゃ へつぐう,官幣大社,名神大社,,筑前国,宗像郡,福岡県,宗像市,福岡県宗像市田島2331,33.8310781,130.5142921,"https://maps.google.com/?q=33.8310781,130.5142921",K090,K089|K091,宗像大社三宮の一つ。辺津宮本殿に市杵島姫神を祀る。
J0012,嚴島神社,いつくしまじんじゃ,官幣中社,名神大社,安芸国一宮,安芸国,佐伯郡,広島県,廿日市市,広島県廿日市市宮島町1-1,34.2972696,132.320247,"https://maps.google.com/?q=34.2972696,132.320247",K090|K089|K091,,市杵島姫命・田心姫命・湍津姫命の宗像三女神を祀る。
J0013,日光東照宮,にっこうとうしょうぐう,別格官幣社,,,下野国,,栃木県,日光市,栃木県日光市山内2301,36.759941,139.597214,"https://maps.google.com/?q=36.759941,139.597214",K159,,徳川家康公を東照大権現として祀る。
J0014,吉備津神社,きびつじんじゃ,官幣中社,名神大社,備中国一宮,備中国,賀夜郡,岡山県,岡山市,岡山県岡山市北区吉備津931,34.670856,133.850586,"https://maps.google.com/?q=34.670856,133.850586",K106,,大吉備津彦大神を主祭神とする備中国一宮。
J0015,大山祇神社,おおやまづみじんじゃ,国幣大社,名神大社,伊予国一宮,伊予国,越智郡,愛媛県,今治市,愛媛県今治市大三島町宮浦3327,34.247875,133.005725,"https://maps.google.com/?q=34.247875,133.005725",K024,,大山積神を祀る全国の山祇神社・三島神社の総本社。
J0016,賀茂別雷神社,かもわけいかづちじんじゃ,官幣大社,名神大社,山城国一宮,山城国,愛宕郡,京都府,京都市,京都府京都市北区上賀茂本山339,35.060508,135.752753,"https://maps.google.com/?q=35.060508,135.752753",K083,,通称上賀茂神社。賀茂別雷大神を祀る山城国一宮。
J0017,賀茂御祖神社,かもみおやじんじゃ,官幣大社,名神大社,山城国一宮,山城国,愛宕郡,京都府,京都市,京都府京都市左京区下鴨泉川町59,35.038983,135.773022,"https://maps.google.com/?q=35.038983,135.773022",K084|K082,,通称下鴨神社。賀茂建角身命と玉依媛命を祀る山城国一宮。
J0018,住吉大社,すみよしたいしゃ,官幣大社,名神大社,摂津国一宮,摂津国,住吉郡,大阪府,大阪市,大阪府大阪市住吉区住吉2丁目9-89,34.612258,135.493656,"https://maps.google.com/?q=34.612258,135.493656",K220|K221|K222|K079,,住吉三神と神功皇后を祀る摂津国一宮。
J0019,椿大神社,つばきおおかみやしろ,,,伊勢国一宮,伊勢国,鈴鹿郡,三重県,鈴鹿市,三重県鈴鹿市山本町1871,34.963936,136.453033,"https://maps.google.com/?q=34.963936,136.453033",K037,K022|K021|K038|K023,猿田彦大神を主神とする伊勢国一宮。
J0020,伊雑宮,いざわのみや,,,志摩国一宮,志摩国,答志郡,三重県,志摩市,三重県志摩市磯部町上之郷374,34.379704,136.808319,"https://maps.google.com/?q=34.379704,136.808319",K012,,皇大神宮の別宮。天照大御神御魂を祀る。
J0021,砥鹿神社,とがじんじゃ,国幣小社,式内小社,三河国一宮,三河国,宝飯郡,愛知県,豊川市,愛知県豊川市一宮町西垣内2,34.847588,137.421041,"https://maps.google.com/?q=34.847588,137.421041",K031,,大己貴命（大国主命）を祀る三河国一宮。
J0022,小國神社,おくにじんじゃ,国幣小社,式内小社,遠江国一宮,遠江国,周智郡,静岡県,周智郡森町,静岡県周智郡森町一宮3956-1,34.847229,137.899487,"https://maps.google.com/?q=34.847229,137.899487",K031,,大己貴命を祀る遠江国一宮。
J0023,三嶋大社,みしまたいしゃ,官幣大社,名神大社,伊豆国一宮,伊豆国,賀茂郡,静岡県,三島市,静岡県三島市大宮町2丁目1番5号,35.120258,138.919235,"https://maps.google.com/?q=35.120258,138.919235",K024|K033,,大山祇命と積羽八重事代主神を祀る伊豆国一宮。
J0024,浅間神社,あさまじんじゃ,国幣中社,名神大社,甲斐国一宮,甲斐国,山梨郡,山梨県,笛吹市,山梨県笛吹市一宮町一ノ宮1684,35.647618,138.697372,"https://maps.google.com/?q=35.647618,138.697372",K023,,木花開耶姫命を祀る甲斐国一宮。
J0025,鶴岡八幡宮,つるがおかはちまんぐう,国幣中社,,相模国一宮,相模国,鎌倉郡,神奈川県,鎌倉市,神奈川県鎌倉市雪ノ下2-1-31,35.325893,139.556338,"https://maps.google.com/?q=35.325893,139.556338",K080|K267|K079,,応神天皇・比売神・神功皇后を祀る相模国の一宮候補社。
J0026,枚岡神社,ひらおかじんじゃ,官幣大社,名神大社,河内国一宮,河内国,,大阪府,東大阪市,大阪府東大阪市出雲井町7-16,34.669926,135.649918,"https://maps.google.com/?q=34.669926,135.649918",K018,K267|K016|K017,天児屋根命を第一殿に祀る河内国一宮。
J0027,敢國神社,あえくにじんじゃ,国幣中社,式内大社,伊賀国一宮,伊賀国,,三重県,伊賀市,三重県伊賀市一之宮877,34.787704,136.164459,"https://maps.google.com/?q=34.787704,136.164459",K113,K035,大彦命を主祭神とする伊賀国一宮。
J0028,都波岐奈加等神社,つばきなかとじんじゃ,,,伊勢国一宮,伊勢国,,三重県,鈴鹿市,三重県鈴鹿市一ノ宮町1181,34.901236,136.601285,"https://maps.google.com/?q=34.901236,136.601285",K037,,猿田彦大神を祀る伊勢国一宮候補社。
J0029,真清田神社,ますみだじんじゃ,国幣中社,名神大社,尾張国一宮,尾張国,,愛知県,一宮市,愛知県一宮市真清田1丁目2-1,35.306484,136.801559,"https://maps.google.com/?q=35.306484,136.801559",K209,,天火明命を祀る尾張国一宮。
J0030,富士山本宮浅間大社,ふじさんほんぐうせんげんたいしゃ,官幣大社,名神大社,駿河国一宮,駿河国,,静岡県,富士宮市,静岡県富士宮市宮町1-1,35.225037,138.610535,"https://maps.google.com/?q=35.225037,138.610535",K023,,木花之佐久夜毘売命を祀る駿河国一宮。
