id,name,yomi,former_shrine_rank,shikinaisha_type,ichinomiya_name,province,county,prefecture,city,address,lat,lng,gmap_url,main_god_ids,sub_god_ids,description,source_key,source_id,db_tier
T2S181734_1,(下立松原神社の合祀)天神社,,,小,,,朝夷郡,,,,34.9153250,139.8678500,"https://maps.google.com/?q=34.9153250,139.8678500",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181734:1,2
T2S181749_1,(合祀)健田須賀神社,,,小,,,結城郡,,,,36.3024972,139.8749583,"https://maps.google.com/?q=36.3024972,139.8749583",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181749:1,2
T2S183085_2,(旧地？)元百射山神社,,,小,,,窪屋郡,,,,34.6502556,133.7577222,"https://maps.google.com/?q=34.6502556,133.7577222",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,183085:2,2
T2S181715_2,(旧社地)不動寺(大里郡寄居町富田),,,小,,,男衾郡,,,,36.1023250,139.2363361,"https://maps.google.com/?q=36.1023250,139.2363361",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181715:2,2
T2S181728_2,(旧社地)元森神社・八坂神社,,,名大,,,児玉郡,,,,36.1845389,139.0775833,"https://maps.google.com/?q=36.1845389,139.0775833",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181728:2,2
T2S181451_2,(旧社地)天神社,,,小,,,愛智郡,,,,35.0814778,136.9514583,"https://maps.google.com/?q=35.0814778,136.9514583",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181451:2,2
T2S181722_3,(旧社地)水天宮石碑,,,小,,,賀美郡,,,,36.2401944,139.1021028,"https://maps.google.com/?q=36.2401944,139.1021028",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181722:3,2
T2S181730_1,(現社地)伊古乃速御玉比売神社,,,小,,,比企郡,,,,36.0742111,139.3395917,"https://maps.google.com/?q=36.0742111,139.3395917",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181730:1,2
T2S181706_1,(現社地)伊波比神社,,,小,,,横見郡,,,,36.0545111,139.4427056,"https://maps.google.com/?q=36.0545111,139.4427056",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181706:1,2
T2S181715_1,(現社地)小被神社,,,小,,,男衾郡,,,,36.1103722,139.2401806,"https://maps.google.com/?q=36.1103722,139.2401806",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181715:1,2
T2S181728_1,(現社地)金鑚神社,,,名大,,,児玉郡,,,,36.1804167,139.0729167,"https://maps.google.com/?q=36.1804167,139.0729167",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181728:1,2
T2S181722_1,(現社地)長幡部神社,,,小,,,賀美郡,,,,36.2434222,139.1108222,"https://maps.google.com/?q=36.2434222,139.1108222",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181722:1,2
T2S181737_1,(現社地)高家神社,,,小,,,朝夷郡,,,,34.9625694,139.9496500,"https://maps.google.com/?q=34.9625694,139.9496500",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181737:1,2
T2S181708_2,(論)中氷川神社(所沢市三ヶ島),,,小,,,入間郡,,,,35.7895694,139.3975722,"https://maps.google.com/?q=35.7895694,139.3975722",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181708:2,2
T2S181708_1,(論)中氷川神社(所沢市山口),,,小,,,入間郡,,,,35.7789111,139.4301361,"https://maps.google.com/?q=35.7789111,139.4301361",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181708:1,2
T2S181719_2,(論)八幡神社(三ヶ尻),,,小,,,播羅郡,,,,36.1595583,139.3196361,"https://maps.google.com/?q=36.1595583,139.3196361",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181719:2,2
T2S181716_1,(論)出雲乃伊波比神社(大里郡寄居町),,,小,,,男衾郡,,,,36.1124417,139.2420750,"https://maps.google.com/?q=36.1124417,139.2420750",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181716:1,2
T2S181716_2,(論)出雲乃伊波比神社(熊谷市板井),,,小,,,男衾郡,,,,36.1065111,139.3177556,"https://maps.google.com/?q=36.1065111,139.3177556",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181716:2,2
T2S181707_2,(論)出雲伊波比神社,,,小,,,入間郡,,,,35.9428472,139.3113167,"https://maps.google.com/?q=35.9428472,139.3113167",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181707:2,2
T2S181707_1,(論)出雲祝神社,,,小,,,入間郡,,,,35.7877361,139.3764167,"https://maps.google.com/?q=35.7877361,139.3764167",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181707:1,2
T2S181700_5,(論)加茂神社(さいたま市),,,小,,,足立郡,,,,35.9456417,139.6089000,"https://maps.google.com/?q=35.9456417,139.6089000",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181700:5,2
T2S181711_2,(論)国渭地祇神社(坂戸市森戸),,,小,,,入間郡,,,,35.9324944,139.3565361,"https://maps.google.com/?q=35.9324944,139.3565361",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181711:2,2
T2S181717_2,(論)塚田三嶋神社,,,小,,,男衾郡,,,,36.1125306,139.2608194,"https://maps.google.com/?q=36.1125306,139.2608194",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181717:2,2
T2S181718_2,(論)大我井神社,,,小,,,播羅郡,,,,36.2281750,139.3786250,"https://maps.google.com/?q=36.2281750,139.3786250",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181718:2,2
T2S181695_1,(論)大麻止乃豆乃天神社,,,小,,,多磨郡,,,,35.6461722,139.4919889,"https://maps.google.com/?q=35.6461722,139.4919889",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181695:1,2
T2S181721_1,(論)奈良神社,,,小,,,播羅郡,,,,36.1872639,139.3660278,"https://maps.google.com/?q=36.1872639,139.3660278",,,延喜式内社データベースの現社候補,KOKUGAKUIN_SHIKINAI,181721:1,2
