alias_record_id,alias_name,canonical_id,canonical_name,alias_type,basis
K051,黄泉津大神,K011,伊邪那美命,神号,元説明: 伊邪那美命の神号
K060,櫛玉命,K061,饒速日命,別名,元説明: 饒速日命の別名
K125,息長帯姫命,K079,神功皇后,別名,元説明: 神功皇后の別名
K194,神変大菩薩,K193,役小角,尊号,元説明: 役小角が賜った神号・尊号
K210,天香語山命,K206,天香山命,同神候補,元説明: 天香山命と同神とされる
K217,大三島神,K024,大山津見神,別称,元説明: 大山津見神の別称
K263,火之夜藝速男神,K015,迦具土神,別名,元説明: 迦具土神の別名
K268,大帯姫神,K079,神功皇后,別称,元説明: 神功皇后の別称
K269,誉田別命,K080,応神天皇,神号,元説明: 応神天皇の神号
K280,熊野夫須美神,K011,伊邪那美命,同神候補,元説明: 伊邪那美命と同神とされる
K281,浅間大神,K023,木花之佐久夜毘売,神号,元説明: 木花之佐久夜毘売の神号
K282,諏訪大明神,K034,建御名方神,神号,元説明: 建御名方神の神号
K283,出雲大神,K031,大国主神,神号,元説明: 大国主神の神号
K288,速開都比売神,K053,速秋津比売神,異表記,外部確認済み: https://kojiki.kokugakuin.ac.jp/shinmei/hayaakitsuhimenokami/
K231,味耜高彦根神,K085,阿遅志貴高日子根神,異表記,外部確認済み: https://kojiki.kokugakuin.ac.jp/shinmei/ajishikitakahikonenokami/
K246,罔象女神,K097,弥都波能売神,異表記,外部確認済み: https://kojiki.kokugakuin.ac.jp/shinmei/mitsuhanomenokami/
K232,下照姫命,K086,下照比売命,表記差,外部確認済み: https://kojiki.kokugakuin.ac.jp/studies/kojiki-keizu/
K234,天稚彦,K087,天稚彦,重複,外部確認済み: https://kojiki.kokugakuin.ac.jp/shinmei/amewakahiko/
K049,香々背男,K049,甕星香々背男,短称,大甕神社公式で「甕星香々背男」。由緒本文でも香々背男と記載
K092,久久能智命,K092,久久能智神,異表記,宇美神社公式の御祭神表記
K112,大吉備津彦命,K106,吉備津彦命,異称・表記,國學院大學 神社DB: 吉備津彦神社主祭神「大吉備津彦命（大吉備日子命）」
K112,大吉備日子命,K106,吉備津彦命,古事記系表記,國學院大學 神社DB: 吉備津彦神社主祭神表記
K229,手力雄神,K039,天手力男神,日本書紀表記,國學院大學 神名DB: 日本書紀では手力雄神／天手力雄神
K229,天手力雄神,K039,天手力男神,日本書紀表記,國學院大學 神名DB: 日本書紀・古語拾遺の表記
