id,name,yomi,system_type,father_id,mother_id,spouse_id,child_ids,description,,
K001,天之御中主神,あめのみなかぬしのかみ,天津神,,,,K002|K003,造化三神の一柱。宇宙の始まりに現れた至高の神。,,
K002,高御産巣日神,たかみむすひのかみ,天津神,,,,K021,造化三神。生成・創造を司る神。天孫降臨で重要な役割を果たす。,,
K003,神産巣日神,かみむすひのかみ,天津神,,,,K032,造化三神。出雲系の神々を助ける生成の女神。,,
K004,宇摩志阿斯訶備比古遅神,うましあしかびひこじのかみ,天津神,,,,,,別天津神の一柱。活力・生命力を象徴する神。,
K005,天之常立神,あめのとこたちのかみ,天津神,,,,,,別天津神の一柱。天の永久性を象徴する神。,
K006,国之常立神,くにのとこたちのかみ,天津神,,,,,,神世七代の最初の神。国土の永久性を象徴する。,
K007,豊雲野神,とよくもぬのかみ,天津神,,,,,,神世七代の神。国土の生成過程を表す。,
K008,宇比地邇神,うひじにのかみ,天津神,,,K009,,神世七代。泥土の神。,,
K009,妹須比智邇神,すひちにのかみ,天津神,,,K008,,神世七代。沙土の女神。,,
K010,伊邪那岐命,いざなぎのみこと,天津神,,,K011,K012|K013|K014|K015|K016,神世七代の男神。国生み・神生みを行い日本の国土と八百万の神を造る。,,
K011,伊邪那美命,いざなみのみこと,天津神,,,K010,K012|K013|K014|K015|K016,神世七代の女神。伊邪那岐命とともに国生みを行う。,,
K012,天照大御神,あまてらすおおみかみ,天津神,K010,K011,,K020|K021,三貴子の一柱。高天原を統治する皇祖神。伊勢神宮主祭神。,,
K013,月読命,つくよみのみこと,天津神,K010,K011,,,三貴子の一柱。夜の食国を統治する月の神。,,
K014,須佐之男命,すさのおのみこと,国津神,K010,K011,K030,K031,三貴子の一柱。ヤマタノオロチを退治し出雲の祖となる。,,
K015,迦具土神,かぐつちのかみ,天津神,K010,K011,,,火の神。誕生時に伊邪那美命に火傷を負わせる。,,
K016,建御雷之男神,たけみかずちのおのかみ,天津神,K010,,,,武の神・地震の神。国譲りの交渉役。鹿島神宮主祭神。,,
K017,経津主神,ふつぬしのかみ,天津神,,,,,,武の神・剣の神。建御雷神とともに国譲りを進める。香取神宮主祭神。,
K018,天児屋命,あめのこやねのみこと,天津神,,,,,中臣氏（藤原氏）の祖神。祝詞の神。枚岡神社・春日大社等。,,
K019,太玉命,ふとだまのみこと,天津神,,,,,忌部氏の祖神。神事・占いを司る神。,,
K020,天忍穂耳命,あめのおしほみみのかみ,天津神,K012,,K021,K022,天照大御神の長男。天孫降臨の予定者だった神。,,
K021,栲幡千千姫命,たくはたちぢひめのみこと,天津神,K002,,,K022,高御産巣日神の娘。織物の女神。,,
K022,瓊瓊杵尊,ににぎのみこと,天津神,K020,K021,K023,K025|K026,天孫降臨の主人公。高天原から高千穂峰へ降臨した皇祖。,,
K023,木花之佐久夜毘売,このはなのさくやびめ,国津神,K024,,K022,K025|K026,大山津見神の娘。桜の花のように美しい女神。富士山（浅間神社）の主祭神。,,
K024,大山津見神,おおやまつみのかみ,国津神,K010,K011,,K023,全国の山を統治する山神の総元締め。三島大社・大山祇神社。,,
K025,火遠理命,ほおりのみこと,天津神,K022,K023,K027,K028,山幸彦。海神の宮へ行き潮盈珠・潮乾珠を得る。,,
