lineage,head_shrine,existing_jinja_id,status,source_url,note
八幡,宇佐神宮,J0008,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
稲荷,伏見稲荷大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
諏訪,諏訪大社,J0005,partial_existing,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,現状は上社本宮のみ登録
天神,太宰府天満宮,J0009,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,北野天満宮と併せて確認
天神,北野天満宮,J0010,research,https://www.jinja-net.jp/jinja/,太宰府天満宮と併せて確認
出雲,出雲大社,J0002,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
大山祇・三島,大山祇神社,J0015,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
宗像,宗像大社,J0011,partial_existing,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,現状は辺津宮のみ登録
神明,神宮,J0003,partial_existing,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,神宮125社構成を別途整理
熊野,熊野本宮大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,熊野三山として統合確認
熊野,熊野速玉大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,熊野三山として統合確認
熊野,熊野那智大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,熊野三山として統合確認
日吉・日枝・山王,日吉大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
事代主・えびす,美保神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
白山,白山比咩神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
八坂・祇園,八坂神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
住吉,住吉大社,J0018,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
猿田彦,椿大神社,J0019,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
浅間,富士山本宮浅間大社,J0030,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
春日,春日大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
淡島,淡嶋神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
愛宕,愛宕神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
大杉,大杉神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
金刀比羅,金刀比羅宮,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
鹿島,鹿島神宮,J0004,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
貴船,貴船神社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
香取,香取神宮,J0006,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
多賀,多賀大社,,research,https://shumi-kami.com/全国総本社・総本宮を徹底解説‼/,個別公式確認前
東照宮,日光東照宮,J0013,research,https://www.jinja-net.jp/jinja/,総本社扱いを公式確認する
阿蘇,阿蘇神社,J0047,research,https://nippon-reijo.jimdofree.com/掲載霊場の一覧/神社霊場/総本社-総本宮/,個別公式確認前
秋葉,秋葉山本宮秋葉神社,,research,https://nippon-reijo.jimdofree.com/掲載霊場の一覧/神社霊場/総本社-総本宮/,個別公式確認前
水天宮,水天宮,,research,https://www.jinja-net.jp/jinja/,久留米水天宮を候補として公式確認
