region,province,shrine_name,existing_jinja_id,status,source_url,note
畿内,山城国,賀茂別雷神社,J0016,existing,https://ichinomiya.gr.jp/,
畿内,山城国,賀茂御祖神社,J0017,existing,https://ichinomiya.gr.jp/,
畿内,大和国,大神神社,J0001,existing,https://ichinomiya.gr.jp/,
畿内,河内国,枚岡神社,J0026,existing,https://ichinomiya.gr.jp/,
畿内,和泉国,大鳥大社,,unregistered,https://ichinomiya.gr.jp/,
畿内,摂津国,住吉大社,J0018,existing,https://ichinomiya.gr.jp/,
畿内,摂津国,坐摩神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,伊賀国,敢國神社,J0027,existing,https://ichinomiya.gr.jp/,
東海道,伊勢国,椿大神社,J0019,existing,https://ichinomiya.gr.jp/,
東海道,伊勢国,都波岐奈加等神社,J0028,existing,https://ichinomiya.gr.jp/,
東海道,志摩国,伊雑宮,J0020,existing,https://ichinomiya.gr.jp/,
東海道,志摩国,伊射波神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,尾張国,真清田神社,J0029,existing,https://ichinomiya.gr.jp/,
東海道,尾張国,大神神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,三河国,砥鹿神社,J0021,existing,https://ichinomiya.gr.jp/,
東海道,遠江国,小國神社,J0022,existing,https://ichinomiya.gr.jp/,
東海道,遠江国,事任八幡宮,,unregistered,https://ichinomiya.gr.jp/,
東海道,駿河国,富士山本宮浅間大社,J0030,existing,https://ichinomiya.gr.jp/,
東海道,伊豆国,三嶋大社,J0023,existing,https://ichinomiya.gr.jp/,
東海道,甲斐国,浅間神社,J0024,existing,https://ichinomiya.gr.jp/,
東海道,相模国,寒川神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,相模国,鶴岡八幡宮,J0025,existing,https://ichinomiya.gr.jp/,
東海道,武蔵国,氷川神社,J0031,existing,https://ichinomiya.gr.jp/,
東海道,武蔵国,氷川女體神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,安房国,安房神社,J0032,existing,https://ichinomiya.gr.jp/,
東海道,安房国,洲崎神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,上総国,玉前神社,,unregistered,https://ichinomiya.gr.jp/,
東海道,下総国,香取神宮,J0006,existing,https://ichinomiya.gr.jp/,
東海道,常陸国,鹿島神宮,J0004,existing,https://ichinomiya.gr.jp/,
東山道,近江国,建部大社,J0033,existing,https://ichinomiya.gr.jp/,
東山道,美濃国,南宮大社,,unregistered,https://ichinomiya.gr.jp/,
東山道,飛騨国,飛騨一宮水無神社,,unregistered,https://ichinomiya.gr.jp/,
東山道,信濃国,諏訪大社 上社,J0005,existing,https://ichinomiya.gr.jp/,現状は上社本宮のみ登録
東山道,信濃国,諏訪大社 下社,,unregistered,https://ichinomiya.gr.jp/,
東山道,上野国,一之宮貫前神社,,unregistered,https://ichinomiya.gr.jp/,
東山道,下野国,宇都宮二荒山神社,,unregistered,https://ichinomiya.gr.jp/,
東山道,下野国,日光二荒山神社,J0034,existing,https://ichinomiya.gr.jp/,
みちのく,磐城国,都々古別神社（馬場）,,unregistered,https://ichinomiya.gr.jp/,
みちのく,磐城国,都々古別神社（八槻）,J0035,existing,https://ichinomiya.gr.jp/,
みちのく,磐城国,石都々古和気神社,J0036,existing,https://ichinomiya.gr.jp/,
みちのく,陸前国,鹽竈神社,,unregistered,https://ichinomiya.gr.jp/,
みちのく,出羽国,鳥海山大物忌神社,J0037,existing,https://ichinomiya.gr.jp/,現状は吹浦口之宮のみ登録
北陸道,若狭国,若狭彦神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,若狭国,若狭姫神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越前国,氣比神宮,,unregistered,https://ichinomiya.gr.jp/,
北陸道,加賀国,白山比咩神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,能登国,氣多大社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越中国,高瀬神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越中国,氣多神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越中国,雄山神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越中国,射水神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越後国,彌彦神社,,unregistered,https://ichinomiya.gr.jp/,
北陸道,越後国,居多神社,J0038,existing,https://ichinomiya.gr.jp/,
北陸道,佐渡国,度津神社,J0039,existing,https://ichinomiya.gr.jp/,
山陰道,丹波国,出雲大神宮,,unregistered,https://ichinomiya.gr.jp/,
山陰道,丹後国,籠神社,J0040,existing,https://ichinomiya.gr.jp/,
山陰道,但馬国,出石神社,,unregistered,https://ichinomiya.gr.jp/,
山陰道,但馬国,粟鹿神社,,unregistered,https://ichinomiya.gr.jp/,
山陰道,因幡国,宇倍神社,J0041,existing,https://ichinomiya.gr.jp/,
山陰道,伯耆国,倭文神社,,unregistered,https://ichinomiya.gr.jp/,
山陰道,出雲国,出雲大社,J0002,existing,https://ichinomiya.gr.jp/,
