role_type,shrine_name,existing_jinja_id,status,source_url,note
JINGU,神宮,J0003,partial_existing,https://www.jinja-net.jp/jinja/,現状は皇大神宮（内宮）のみ登録。神宮は125社構成のため親子設計が必要
JINGU,伊弉諾神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,霧島神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,鹿児島神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,鵜戸神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,英彦山神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,橿原神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,宮崎神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,気比神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,宇佐神宮,J0008,existing,https://www.jinja-net.jp/jinja/,
JINGU,近江神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,白峯神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,平安神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,赤間神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,水無瀬神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,吉野神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,北海道神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,明治神宮,J0007,existing,https://www.jinja-net.jp/jinja/,
JINGU,熱田神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,石上神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,國懸神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,日前神宮,,research,https://www.jinja-net.jp/jinja/,
JINGU,鹿島神宮,J0004,existing,https://www.jinja-net.jp/jinja/,
JINGU,香取神宮,J0006,existing,https://www.jinja-net.jp/jinja/,
TAISHA,出雲大社,J0002,existing,https://www.jinja-net.jp/jinja/,
TAISHA,熊野大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,三嶋大社,J0023,existing,https://www.jinja-net.jp/jinja/,
TAISHA,富士山本宮浅間大社,J0030,existing,https://www.jinja-net.jp/jinja/,
TAISHA,諏訪大社,J0005,partial_existing,https://www.jinja-net.jp/jinja/,現状は上社本宮のみ登録
TAISHA,気多大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,南宮大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,多度大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,多賀大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,建部大社,J0033,existing,https://www.jinja-net.jp/jinja/,
TAISHA,日吉大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,春日大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,龍田大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,廣瀬大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,伏見稲荷大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,松尾大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,梅宮大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,住吉大社,J0018,existing,https://www.jinja-net.jp/jinja/,
TAISHA,大鳥大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,熊野本宮大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,熊野速玉大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,熊野那智大社,,research,https://www.jinja-net.jp/jinja/,
TAISHA,宗像大社,J0011,partial_existing,https://www.jinja-net.jp/jinja/,現状は辺津宮のみ登録
TAISHA,高良大社,,research,https://www.jinja-net.jp/jinja/,
